Question,Ground_Truth
Alan MacDiarmid làm việc tại đâu?,Đại Học St Andrews
Nơi André Michel Lwoff công tác là ở đâu?,Đại Học Cambridge
Abdus Salam công tác ở đâu?,/Đại Học Punjab
Quốc tịch của Benjamin List là gì?,Tây Đức
Einstein làm việc tại đâu?,/Viện Kaiser Wilhelm
Thành phố nào Adolf Von Baeyer sinh ra?,Berlin
Ngày Alexander Prokhorov sinh là ngày nào?,11 Tháng 7
Ai đã nhận giải thưởng /Václav Havel Human Rights Prize?,/Václav Havel Human Rights Prize
Quốc gia nào là quê hương của Aage Bohr?,Đan Mạch
Ai đã được trao /Giải Thưởng Templeton?,/Giải Thưởng Templeton
Trường đại học nào mà Anton Zeilinger là giáo sư?,/University Of Vienna
"Với thành tích học vấn của Abiy Ahmed, anh ấy có đạt được bằng cấp nào?",Thạc Sỹ
Bertha Von Suttner sinh ở đâu?,Vương Quốc Bohemia
Anne L'Huillier đã nhận được giải thưởng nào trong lĩnh vực Vật lý?,Giải Wolf Vật Lý
Abram Ioffe sinh ở đâu?,Ukraina
Ai đã được trao Huy Chương Hughes?,/Huy Chương Hughes
Anne L'Huillier đạt được học vị nào?,/Thạc Sĩ Khoa Học
Anh/chị sinh ở đâu?,/Monessen
Nơi nào Carl Bosch đã mất?,Heidelberg
Albert Camus qua đời tại đâu?,Villeblevin
Andrew Schally làm việc tại đâu?,Đại Học Miami
"Carl Bosch đã giành được giải thưởng nào mà có tên gọi ""Huy Chương Liebig""?",Huy Chương Liebig
Ai đã nhận giải thưởng Charles Stark Draper Prize?,/Charles Stark Draper Prize
Quốc gia nào là quê hương của André-Louis Debierne?,Pháp
Abram Ioffe làm việc tại đâu?,/Viện Ioffe
Câu hỏi: Nơi sinh của C. V. Raman là đâu?,/Thiruvanaikoil
Danh sách những người đã đoạt Giải Nobel Hóa Học bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Alan Turing được công nhận là thành viên của tổ chức nào?,Thành Viên Hiệp Hội Hoàng Gia
Craig Mello làm việc ở đâu?,/Đại Học Y Khoa Massachusetts
Ngày nào Boris Pasternak sinh ra?,10 Tháng 2
Trường đại học nào mà Charles Brenton Huggins từng tham gia giảng dạy?,Đại Học Harvard
Nơi nào mà Amartya Sen công tác?,Đại Học Stanford
Nơi công tác của Abdus Salam là đâu?,/Viện Edward Buochet-Abdus Salam
Năm Albrecht Kossel mất là năm nào?,1927
August Wilhelm Von Hofmann đã nhận được giải thưởng nào vào năm 1881?,Copley Medal
Abhijit Banerjee đã đạt học vị ở đâu?,Đại Học Calcutta
Trường đại học nào Carol W. Greider từng trở thành sinh viên tại?,Đại Học California Tại Berkeley
Barbara McClintock làm việc ở đâu?,/Phòng Thí Nghiệm Cold Spring Harbor
Claudia Goldin làm việc tại đâu?,Đại Học Harvard
Ai là nghiên cứu sinh nổi tiếng được đề cử trong Triple David MacMillan - Các nghiên cứu sinh nổi tiếng - Tristan Lambert?,/Tristan Lambert
Nơi sinh của Burton Richter là ở đâu?,Brooklyn
Ngày nào Artturi Ilmari Virtanen sinh?,15 Tháng 1
Albert Abraham Michelson sinh ở đâu?,Strzelno
Christian De Duve sinh ở đâu?,/Thames Ditton
Ở đâu Ahmed Zewail đã học trường lớp?,Đại Học Pennsylvania
Carol W. Greider đã đạt được giải thưởng nào từ tổ chức nào?,Giải Quốc Tế Quỹ Gairdner
Aage Bohr làm việc ở đâu?,Đại Học Copenhagen
Alan MacDiarmid qua đời ở quốc gia nào?,Hoa Kỳ
Trường Đại học nào Anne L'Huillier đã nhận học vị từ?,/École Normale Supérieure De Lettres Et Sciences Humaines
Nơi Charles K. Kao mất là đâu?,Hồng Kông
Charles K. Kao đã nhận được giải thưởng nào?,/Giải IEEE Morris N. Liebmann Memorial
Anatole France là người nổi tiếng trong lĩnh vực nào?,Nhà Văn
Nơi Charles Hard Townes làm việc là đâu?,Đại Học Michigan
Nơi nào mà Amartya Sen công tác?,Viện Công Nghệ Massachusetts
Ai là người hướng dẫn luận án tiến sĩ của Albert Abraham Michelson?,Không có người hướng dẫn tiến sĩ
Ở đâu Akira Yoshino đạt học vị của mình?,Đại Học Kyoto
Abdus Salam đã nhận được giải thưởng nào?,Giải Nguyên Tử Vì Hòa Bình
"Dưới thời Liên Xô, Ales Bialiatski sinh ở đâu?",/Karelian Autonomous Soviet Socialist Republic
Aleksandr Solzhenitsyn sinh ở đâu?,Cộng Hòa Xã Hội Chủ Nghĩa Xô Viết Liên Bang Nga
Anton Zeilinger học vấn ở trình độ nào?,/Undergraduate Education
Charles Nicolle sinh ở đâu?,Rouen
David MacMillan đạt được học vị nào?,Thạc Sĩ Khoa Học
Adam Riess làm việc ở đâu?,Đại Học Johns Hopkins
Ai đã từng được trao /Huân Chương Hughes?,/Huân Chương Hughes
Tại quốc gia nào Alfred Werner sinh ra?,Pháp
Quốc tịch của Charles J. Pedersen là gì?,Hoa Kỳ
Ở bang nào Ben R. Mottelson sinh ra?,Illinois
Barbara McClintock sinh ở bang nào?,Connecticut
Danh sách những người đoạt Giải Nobel Hóa Học bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Bob Dylan đã đạt được giải thưởng nào mà không phải là giải Grammy?,Giải Nobel Văn Học
Nơi Arthur Ashkin mất là ở đâu?,"/Rumson, New Jersey"
"Ai được trao danh hiệu ""/Knight Bachelor"" dựa trên thành tích vĩ đại trong lĩnh vực y học?",/Knight Bachelor
Ai là người đã đoạt giải Nobel Văn Học?,Giải Nobel Văn Học
Albert Schweitzer mất ở quốc gia nào?,Cộng Hòa Gabon
Ai là người hướng dẫn luận án tiến sĩ của David Card?,/Orley Ashenfelter
Abhijit Banerjee đã đạt được học vị nào?,Cử Nhân
Ai đã chia sẻ Huy Chương Hughes với Antony Hewish?,/Huy Chương Hughes
Nơi Clive Granger làm việc là đâu?,"Đại Học California, San Diego"
Nơi Charles G. Dawes qua đời là ở đâu?,"Evanston, Illinois"
Nơi sinh của Ben Roy Mottelson là ở đâu?,Chicago
Quốc tịch của nhà khoa học Aaron Klug là gì?,Anh
Ai không có người hướng dẫn tiến sĩ trong quá trình nghiên cứu và viết luận án tiến sĩ?,Không có người hướng dẫn tiến sĩ
Aziz Sancar đã đạt được học vị nào?,Tiến Sĩ
Anne L'Huillier làm việc ở đâu?,Đại Học Lund
Abdus Salam đã từng làm việc tại đâu trong lĩnh vực giáo dục và nghiên cứu?,Viện Hàn Lâm Giáo Hoàng Về Khoa Học
Ở đâu Aziz Sancar đã nhận học vị của mình?,Đại Học Istanbul
Quốc tịch của nhà hóa học nổi tiếng Ahmed Zewail là gì?,Ai Cập
Anton Zeilinger sinh ra ở đâu?,/Allied-Occupied Austria
Ai là người hướng dẫn luận án tiến sĩ của Donald A. Glaser?,Không có người hướng dẫn tiến sĩ
Trường nào mà Burton Richter đã từng tham gia giảng dạy?,Học Viện Công Nghệ Massachusetts
Quốc tịch của Albert Abraham Michelson là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Brian P. Schmidt?,Không có người hướng dẫn tiến sĩ
Aleksandr Solzhenitsyn sinh ở đâu?,Kislovodsk
Albert Szent-Györgyi sinh ở đâu?,Budapest
Quốc tịch của nhà kinh tế Arthur Lewis là gì?,Vương Quốc Anh
Alexander Fleming đã đạt được giải thưởng nào trong lĩnh vực y học?,Giải Nobel Sinh Lý Và Y Khoa
Alfred Werner học tại trường đại học nào?,Đại Học Zürich
Đâu là trường đại học mà Abdus Salam từng làm việc trước khi qua đời?,Oxford
André Michel Lwoff qua đời ở đâu?,"Paris, Pháp"
Ben Roy Mottelson làm việc tại đâu?,/Viện Vật Lý Lý Thuyết Bắc Âu
Nơi nào là nơi Copernicus mất?,Frombork
Ai là nghiên cứu sinh nổi tiếng được nhắc đến cùng David MacMillan trong Triple?,/Vy Dong
Ai là người được ảnh hưởng bởi Amartya Sen?,Esther Duflo
"Albert Einstein từng nhận giải thưởng nào mà sau này được trao tặng danh hiệu ""/Viện Sỹ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ""?",/Viện Sỹ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Albert Szent-Györgyi mất ở đâu?,"/Woods Hole, Massachusetts"
Ai là người đã đoạt giải Nobel Vật Lý?,Giải Nobel Vật Lý
Burton Richter làm việc tại đâu?,Đại Học Stanford
Abdus Salam đã được trao giải thưởng nào?,/Nishan-E-Imtiaz
August Wilhelm Von Hofmann đã nhận được giải thưởng nào vào năm 1869?,/Faraday Lectureship Prize
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Arthur Ashkin mất ở tiểu bang nào?,New Jersey
Daniel Kahneman đã đạt được học vị gì?,Cử Nhân Nghệ Thuật
Đâu là danh sách những người đã đoạt giải Nobel Hóa học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Quốc tịch của Charles Thomson Rees Wilson là gì?,Scotland
Antony Hewish làm việc tại đâu?,"/Gonville And Caius College, Cambridge"
Charles K. Kao mất ở đâu?,/Sha Tin
Quốc gia nào là nơi Christian De Duve mất?,Bỉ
Albert Fert làm việc tại đâu?,/Thales (Tập Đoàn
Năm Alfred Hershey mất là năm nào?,1997
Boris Pasternak theo nghề nghiệp của ông là gì?,Nhà Văn
Trường nào Charles J. Pedersen đã tham gia học tại?,Học Viện Công Nghệ Massachusetts
David Card làm việc tại đâu?,Đại Học California Tại Berkeley
Alice Munro sinh ở đâu?,/Wingham
Trường đại học nào mà Charles K. Kao từng làm giáo sư?,Đại Học Greenwich
Ở đâu Barack Obama sinh ra?,"Honolulu, Hawaii"
Bertha Von Suttner đã nhận được giải thưởng nào vào năm 1905?,Giải Nobel Hòa Bình
Amartya Sen làm việc tại đâu?,Trường Kinh Tế London
Carolyn R. Bertozzi đã đạt được học vị nào?,Cử Nhân
Ai là những người đã đoạt Giải Nobel Sinh Lý Học Và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Alan MacDiarmid mất vào ngày nào?,7 Tháng 2
Craig Mello đã nhận được giải thưởng nào?,Giải Quốc Tế Quỹ Gairdner
August Wilhelm Von Hofmann đã nhận được giải thưởng nào từ Royal Society Of Arts?,/Albert Medal (Royal Society Of Arts
Ai đã được trao Huân Chương Khoa Học Quốc Gia?,Huân Chương Khoa Học Quốc Gia
Arthur B. McDonald là giáo sư tại trường đại học nào?,/Dalhousie University
Ai là con cái của Bob Dylan?,/Jakob Dylan
Ai là người đã nhận Huy Chương H. C. Ørsted?,Huy Chương H. C. Ørsted
Giải thưởng nào mà Claude Simon từng đoạt trong sự nghiệp của mình?,Giải Médicis
Ai là quốc gia mà Alexander Prokhorov mất?,Nga
Annie Ernaux sinh ở đâu?,Lillebonne
Aaron Klug mất ở đâu?,Vương Quốc Liên Hiệp Anh Và Ireland
Corneille Heymans sinh ở đâu?,Flanders
Trường đại học nào mà Bert Sakmann đã giảng dạy tại?,/Đại Học Ludwig-Maximilians Tại Müchen
Trường đại học nào mà Charles Glover Barkla từng tham gia học tập?,Đại Học Cambridge
Trường Đại học nào Copernicus theo học?,/Đại Học Ferrara
Quốc gia nào là quê hương của nhà kinh tế học Arthur Lewis?,Saint Lucia
Nơi sinh của Carl David Anderson là ở đâu?,New York (Tiểu Bang
Ai đã nhận giải thưởng /Henry Marshall Tory Medal?,/Henry Marshall Tory Medal
Allvar Gullstrand sinh ra tại đâu?,Thụy Điển
Trường Đại học nào mà Ahmed Zewail từng làm việc?,/Đại Học Alexandria
Carol W. Greider làm việc tại đâu?,/Phòng Thí Nghiệm Cold Spring Harbor
Albert Einstein làm việc tại đâu?,Đại Học Princeton
Alan Turing mất ở đâu?,/Wilmslow
Nơi nào mà André Michel Lwoff đã làm việc trong một thời gian dài?,Viện Pasteur
Bertil Ohlin là người nổi tiếng trong lĩnh vực nào trước khi qua đời và để lại tác động lớn tới Hạt Jämtland?,Hạt Jämtland
Ai là người hướng dẫn luận án tiến sĩ của /Johann Jakob Müller?,/Johann Jakob Müller
Ai đã được trao Giải Comstock Vật Lý?,/Giải Comstock Vật Lý
Nơi Amartya Sen công tác là đâu?,Đại Học Oxford
Danh sách những người đã đoạt Giải Nobel Sinh lý học và Y khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Trường đại học nào mà Ben Roy Mottelson đã tham gia giảng dạy?,Đại Học Harvard
"Ai là người hướng dẫn luận án tiến sĩ của Alexander R. Todd, Baron Todd?",Robert Robinson
Ngày nào Albert Schweitzer sinh?,14 Tháng 1
Adolf Von Baeyer làm việc tại đâu?,Đại Học Ludwig Maximilian München
Ai là những người đã đoạt giải Nobel Sinh Lý Học và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Nơi Allvar Gullstrand công tác là đâu?,Đại Học Uppsala
"Bạn biết Alexander R. Todd, Baron Todd làm việc ở đâu không?",Đại Học Edinburgh
Alan J. Heeger sinh ở đâu?,Hoa Kỳ
Danh sách những người đã đoạt Giải Nobel Sinh lý học và Y khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Alfred Sturtevant sinh vào ngày nào?,21 Tháng 11
Năm nào Ahmed Zewail đã giành Giải thưởng?,2011
Ai là người được đề cử trong Triple Carl David Anderson - Các nghiên cứu sinh nổi tiếng - Donald A. Glaser?,Donald A. Glaser
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Abdus Salam đã nhận được giải thưởng nào mà Huy Chương Copley là một phần của nó?,Huy Chương Copley
Adolf Butenandt sinh ở đâu?,Bremerhaven
Antony Hewish sinh ở đâu?,/Fowey
Ai là triết gia mà Amartya Sen đã ảnh hưởng?,John Rawls
Ai là người nghiên cứu sinh nổi tiếng được kết nạp bởi Arnold Sommerfeld?,/Rudolf Peierls
Quốc tịch của Arthur Lewis là gì?,Đế Quốc Anh
Barry Barish đã đạt được giải thưởng nào mà được trao huy chương Henry Draper?,Huy Chương Henry Draper
Trường đại học nào mà Arieh Warshel làm việc tại?,/Technion
Năm nào Anwar Sadat mất?,1981
Ai đã được trao giải Nobel Vật Lý?,Giải Nobel Vật Lý
Trường nào mà Bert Sakmann đã theo học?,Đại Học Göttingen
C.V. Raman làm việc tại đâu?,"/Trung Tâm Cao Đẳng, Đại Học Bangalore"
Ben Roy Mottelson sinh ở bang nào?,Illinois
Ở thành phố nào Daniel Kahneman sinh ra?,Tel Aviv
Ai là người được nhắc đến trong Triple: Arnold Sommerfeld - Các nghiên cứu sinh nổi tiếng - /Paul Peter Ewald?,/Paul Peter Ewald
Craig Mello sinh ở đâu?,New Haven
Adolf Von Baeyer đã giảng dạy tại trường lớp nào?,Đại Học Humboldt Berlin
Daron Acemoglu làm việc tại đâu?,Viện Công Nghệ Massachusetts
Corneille Heymans sinh ở thành phố nào?,Gent
David MacMillan đã nhận học vị ở đâu?,Đại Học Glasgow
Nơi nào mà Arthur Ashkin công tác?,Phòng Thí Nghiệm Bell
Bertha Von Suttner sinh ở đâu?,Đế Quốc Áo
Ai đã nhận Giải Paul Ehrlich Và Ludwig Darmstaedter?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Bertha Von Suttner là người nổi tiếng trong lĩnh vực nào và nổi tiếng với tư tưởng gì?,Chủ Nghĩa Hòa Bình
Vương quốc Anh đã trao giải Nobel cho Charles T. R. Wilson vào năm nào?,/Giải Của Viện Franklin
Daniel Kahneman nhận giải thưởng Nobel trong lĩnh vực nào?,/Đại Học Tufts
Alexander Fleming được trao giải thưởng nào của Hội Hoàng Gia Luân Đôn?,Hội Hoàng Gia Luân Đôn
Anatole France sinh vào năm nào?,1844
Ai đã không hướng dẫn luận án tiến sĩ của David MacMillan?,Không có người hướng dẫn tiến sĩ
Quốc gia nào là quê hương của Ahmed Zewail?,Ai Cập
Ai đã được trao Giải thưởng /Henry Draper Medal?,/Henry Draper Medal
Quốc gia nào Adolf Otto Reinhold Windaus đã mất?,Đức
Trường đào tạo nổi tiếng Christian B. Anfinsen là trường đại học nào?,Đại Học Pennsylvania
Ngày nào Abdus Salam sinh?,29 Tháng 1
Nơi sinh của Augusto Pinochet là ở đâu?,Valparaíso
Ai đã nhận Huy Chương Elliott Cresson?,/Huy Chương Elliott Cresson
Đâu là thành phố mà Claude Simon qua đời?,Paris
Claudia Goldin làm việc ở đâu?,Đại Học Pennsylvania
Amartya Sen hiện đang công tác tại đâu?,Đại Học Cornell
Albert Einstein làm việc tại thành phố nào?,Bern
Anton Zeilinger làm việc tại trường đại học nào?,Collège De France
Thành phố nào Adolf Butenandt mất?,München
Nơi sinh của Andrew Schally là đâu?,/Wilno
Albert Camus sinh ở quốc gia nào?,Algérie
Arieh Warshel sinh ở đâu?,/Sde Nahum
August Wilhelm Von Hofmann đã nhận được giải thưởng nào?,/Royal Medal
Ai là người hướng dẫn luận án tiến sĩ của Anne L'Huillier?,Không có người hướng dẫn tiến sĩ
Angus Deaton học ở đâu?,Đại Học Cambridge
Ai là người phối ngẫu của Albert Einstein?,Mileva Marić
Quốc gia nào là nơi sinh của Dominique Pire?,Bỉ
Ở thành phố nào Archer John Porter Martin sinh ra?,Luân Đôn
Nhà khoa học nào đã có ảnh hưởng lớn đến lĩnh vực vật lý học và cũng là mục sư Công giáo?,/John Polkinghorne
Ales Bialiatski đạt được học vị nào?,Bachelor Of Arts
Ai là người ảnh hưởng đến Arthur Eddington?,/Arthur Schuster
Ai là người hướng dẫn luận án tiến sĩ của David MacMillan?,/Larry E. Overman
Quốc tịch của nhà văn Claude Simon là gì?,Pháp
Ai là nữ nhà thiên văn học nổi tiếng đã làm việc cùng với Arthur Eddington?,/Cecilia Payne-Gaposchkin
Ngày nào Albert Schweitzer qua đời?,4 Tháng 9
Benjamin List có học vị gì?,Tiến Sĩ
Năm nào Alexander Prokhorov đã giành Giải thưởng?,2001
Alan J. Heeger sinh ở thành phố nào?,/Thành Phố Sioux
Danh sách những ai đã đoạt Giải Nobel Sinh Lý Học và Y Khoa là gì?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Barbara McClintock đã nhận được giải thưởng nào?,Giải Louisa Gross Horwitz
Charles Thomson Rees Wilson làm việc ở đâu?,Đại Học Cambridge
Alfred Sturtevant đã nhận được giải thưởng nào?,/Huy Chương Khoa Học Quốc Gia
Ai là người đã được August Wilhelm Von Hofmann đào tạo và trở thành một nhà hóa học nổi tiếng sau này?,Fritz Haber
Charles M. Rice học vị gì và làm việc tại đâu?,Viện Công Nghệ California
Alan J. Heeger làm việc tại đâu?,Đại Học California Tại Santa Barbara
Alexander Fleming đã học tại trường đại học nào?,/University Of Westminster
Danh sách người đoạt Giải Nobel Sinh Lý Học Và Y Khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ai là người hướng dẫn luận án tiến sĩ của Ben R. Mottelson?,Julian Schwinger
Ai là người hướng dẫn luận án tiến sĩ của Charles Glover Barkla?,Joseph John Thomson
Bernardo Houssay sinh ở đâu?,Buenos Aires
"Quốc gia nào là nơi sinh của Alexander R. Todd, Baron Todd?",Scotland
Quốc tịch của nhà hóa học Ahmed Zewail là gì?,Hoa Kỳ
Ai là người được hướng dẫn luận án tiến sĩ bởi Anton Zeilinger?,/Helmut Rauch
Năm nào Albert Fert đã được trao Giải thưởng?,2006
Abdus Salam đã nhận được giải thưởng nào có tên là gì?,Huy Chương Matteucci
Charles T. R. Wilson làm việc tại đâu?,Đại Học Cambridge
Câu hỏi: Ai là người đồng nghiệp của Daniel Kahneman trong lĩnh vực các nghiên cứu nổi tiếng?,/Baruch Fischhoff
Corneille Heymans mất ở đâu?,Flanders
David MacMillan làm việc tại đâu?,"Đại Học California, Berkeley"
Quốc tịch của André Frédéric Cournand là gì?,Pháp
Quốc tịch của Ben Roy Mottelson là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Albert Fert?,/Ian Campbell
Alan MacDiarmid đã giảng dạy tại trường đại học nào?,Đại Học Wisconsin–Madison
Danh sách người đoạt giải Nobel Hóa Học là gì?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Danh sách giải thưởng và đề cử của Bob Dylan,/Danh Sách Giải Thưởng Và Đề Cử Của Bob Dylan
Năm sinh của Albert Claude là bao nhiêu?,1899
Danh sách những người đoạt Giải Nobel Hóa Học bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Barbara McClintock sinh ở đâu?,Hoa Kỳ
Claudia Goldin làm việc tại đâu?,/Cục Nghiên Cứu Kinh Tế Quốc Gia
Anton Zeilinger làm việc tại đâu?,Học Viện Công Nghệ Massachusetts
Andrew Schally là người sinh ở đâu?,Đệ Nhị Cộng Hòa Ba Lan
Năm nào André Gide sinh ra?,1869
Ai là người sáng lập /Viện Vật Lý Lebedev?,/Viện Vật Lý Lebedev
Albert Einstein nhận được giải thưởng nào?,Huy Chương Matteucci
Anton Zeilinger làm việc tại trường Đại Học nào?,/Đại Học Kỹ Thuật Munich
Học vị của Akira Yoshino là gì?,Master Of Science
Ai là người được đề cập trong Triple: Donald A. Glaser - Phối ngẫu - /Lynn Bercovitz?,/Lynn Bercovitz
Quốc tịch của Carl David Anderson là gì?,Hoa Kỳ
Ai là người được đề cử cùng với Abram Ioffe trong danh sách các nghiên cứu sinh nổi tiếng?,Nikolay Semyonov
Ai là người có liên quan đến nghiên cứu với Abdus Salam?,/Partha Ghose
Trường học nào được Copernicus theo học?,Đại Học Bologna
Ben Feringa làm việc tại công ty nào?,Royal Dutch Shell
"Ai là người được kể đến trong Triple ""Abdus Salam - Các nghiên cứu sinh nổi tiếng - /Faheem Hussain""?",/Faheem Hussain
"Giải thưởng nào mà Arthur B. McDonald đã nhận là ""/Benjamin Franklin Medal (Franklin Institute""?",/Benjamin Franklin Medal (Franklin Institute
"Nơi công tác của Alexander R. Todd, Baron Todd là đâu?",/Đại Học Strathclyde
Nơi Charles G. Dawes sinh là ở đâu?,"Marietta, Ohio"
Arthur Lewis đã đạt được giải thưởng Nobel trong lĩnh vực nào?,Giải Nobel Kinh Tế
Abdus Salam sinh ở đâu?,Punjab
Ai là người hướng dẫn luận án tiến sĩ của Andrei Sakharov?,Igor Yevgenyevich Tamm
Nơi Amartya Sen công tác là gì?,Đại Học Cambridge
Bạn biết Abiy Ahmed đã học ở đâu trong quá khứ không?,/Đại Học Addis Ababa
Abdus Salam làm việc tại đâu?,/Đại Học Hoàng Gia London
Quốc gia nào Carl Bosch đã mất?,Đức
Dmitry Muratov sinh ở đâu?,Cộng Hòa Xã Hội Chủ Nghĩa Xô Viết Liên Bang Nga
Nơi Carol W. Greider sinh là ở đâu?,San Diego
Ai là người hướng dẫn luận án tiến sĩ của Brian P. Schmidt?,/Robert Kirshner
Abram Ioffe sinh ở đâu?,Poltava (Tỉnh Của Đế Quốc Nga
Charles Hard Townes sinh ở đâu?,/Greenville
Alan J. Heeger là giáo sư tại trường nào?,Đại Học California Tại Berkeley
Ai là người có liên quan đến Abdus Salam trong lĩnh vực nghiên cứu?,/Ghulam Murtaza
Nơi sinh của Barbara McClintock là ở đâu?,"Hartford, Connecticut"
Thành phố nào mà Ben R. Mottelson đã mất tại đó?,Copenhagen
Albert Schweitzer sinh ở đâu?,Kaysersberg
