link,name,type
/wiki/Rudolf_Christoph_Eucken,Rudolf Christoph Eucken,PERSON
/wiki/Klas_Pontus_Arnoldson,Klas Pontus Arnoldson,PERSON
/wiki/Fredrik_Bajer,Fredrik Bajer,PERSON
/wiki/Karl_Ferdinand_Braun,Karl Ferdinand Braun,PERSON
/wiki/Guglielmo_Marconi,Guglielmo Marconi,PERSON
/wiki/Wilhelm_Ostwald,Wilhelm Ostwald,PERSON
/wiki/Emil_Theodor_Kocher,Emil Theodor Kocher,PERSON
/wiki/Selma_Lagerl%C3%B6f,Selma Lagerlöf,PERSON
/wiki/Auguste_Marie_Fran%C3%A7ois_Beernaert,Auguste Beernaert,PERSON
/wiki/Paul-Henri-Benjamin_d%27Estournelles_de_Constant,Paul-Henri-Benjamin d'Estournelles de Constant,PERSON
/wiki/Johannes_Diderik_van_der_Waals,Johannes Diderik van der Waals,PERSON
/wiki/Otto_Wallach,Otto Wallach,PERSON
/wiki/Albrecht_Kossel,Albrecht Kossel,PERSON
/wiki/Paul_Heyse,Paul Johann Ludwig von Heyse,PERSON
/wiki/Wilhelm_Wien,Wilhelm Wien,PERSON
/wiki/Allvar_Gullstrand,Allvar Gullstrand,PERSON
/wiki/Maurice_Maeterlinck,Maurice Maeterlinck,PERSON
/wiki/Tobias_Asser,Tobias Michael Carel Asser,PERSON
/wiki/Alfred_Hermann_Fried,Alfred Hermann Fried,PERSON
/wiki/Gustaf_Dal%C3%A9n,Gustaf Dalén,PERSON
/wiki/Victor_Grignard,Victor Grignard,PERSON
/wiki/Paul_Sabatier_(chemist),Paul Sabatier,PERSON
/wiki/Alexis_Carrel,Alexis Carrel,PERSON
/wiki/Gerhart_Hauptmann,Gerhart Hauptmann,PERSON
/wiki/Heike_Kamerlingh_Onnes,Heike Kamerlingh Onnes,PERSON
/wiki/Alfred_Werner,Alfred Werner,PERSON
/wiki/Charles_Richet,Charles Robert Richet,PERSON
/wiki/Rabindranath_Tagore,Rabindranath Tagore,PERSON
/wiki/Henri_La_Fontaine,Henri La Fontaine,PERSON
/wiki/Max_von_Laue,Max von Laue,PERSON
/wiki/Theodore_William_Richards,Theodore William Richards,PERSON
/wiki/Robert_B%C3%A1r%C3%A1ny,Robert Bárány,PERSON
/wiki/William_Henry_Bragg,William Henry Bragg,PERSON
/wiki/William_Lawrence_Bragg,William Lawrence Bragg,PERSON
/wiki/Richard_Willst%C3%A4tter,Richard Willstätter,PERSON
/wiki/Romain_Rolland,Romain Rolland,PERSON
/wiki/Verner_von_Heidenstam,Verner von Heidenstam,PERSON
/wiki/Charles_Glover_Barkla,Charles Glover Barkla,PERSON
/wiki/Karl_Adolph_Gjellerup,Karl Gjellerup,PERSON
/wiki/Henrik_Pontoppidan,Henrik Pontoppidan,PERSON
/wiki/%E1%BB%A6y_ban_Ch%E1%BB%AF_th%E1%BA%ADp_%C4%91%E1%BB%8F_qu%E1%BB%91c_t%E1%BA%BF,Ủy ban Chữ thập đỏ quốc tế,ORGANIZATION
/wiki/Max_Planck,Max Planck,PERSON
/wiki/Fritz_Haber,Fritz Haber,PERSON
/wiki/Johannes_Stark,Johannes Stark,PERSON
/wiki/Jules_Bordet,Jules Bordet,PERSON
/wiki/Carl_Spitteler,Carl Spitteler,PERSON
/wiki/Woodrow_Wilson,Woodrow Wilson,PERSON
/wiki/Charles_%C3%89douard_Guillaume,Charles Édouard Guillaume,PERSON
/wiki/Walther_Nernst,Walther Nernst,PERSON
/wiki/August_Krogh,August Krogh,PERSON
/wiki/Knut_Hamsun,Knut Hamsun,PERSON
/wiki/Albert_Einstein,Albert Einstein,PERSON
/wiki/Frederick_Soddy,Frederick Soddy,PERSON
/wiki/Anatole_France,Anatole France,PERSON
/wiki/Hjalmar_Branting,Hjalmar Branting,PERSON
/wiki/Christian_Lous_Lange,Christian Lous Lange,ORGANIZATION
/wiki/Niels_Bohr,Niels Bohr,PERSON
/wiki/Francis_William_Aston,Francis William Aston,PERSON
/wiki/Otto_Fritz_Meyerhof,Otto Fritz Meyerhof,PERSON
/wiki/Jacinto_Benavente,Jacinto Benavente,PERSON
/wiki/Fridtjof_Nansen,Fridtjof Nansen,PERSON
/wiki/Robert_Andrews_Millikan,Robert Millikan,PERSON
/wiki/Fritz_Pregl,Fritz Pregl,PERSON
/wiki/Frederick_Banting,Frederick Banting,PERSON
/wiki/John_James_Rickard_Macleod,John James Rickard Macleod,PERSON
/wiki/W._B._Yeats,William Butler Yeats,PERSON
/wiki/Manne_Siegbahn,Manne Siegbahn,PERSON
/wiki/Willem_Einthoven,Willem Einthoven,PERSON
/wiki/W%C5%82adys%C5%82aw_Reymont,Władysław Reymont,PERSON
/wiki/James_Franck,James Franck,PERSON
/wiki/Gustav_Ludwig_Hertz,Gustav Ludwig Hertz,PERSON
/wiki/Richard_Adolf_Zsigmondy,Richard Adolf Zsigmondy,PERSON
/wiki/George_Bernard_Shaw,George Bernard Shaw,PERSON
/wiki/Austen_Chamberlain,Austen Chamberlain,PERSON
/wiki/Charles_G._Dawes,Charles G. Dawes,PERSON
/wiki/Jean_Baptiste_Perrin,Jean Baptiste Perrin,PERSON
/wiki/Theodor_Svedberg,Theodor Svedberg,PERSON
/wiki/Johannes_Fibiger,Johannes Fibiger,PERSON
/wiki/Grazia_Deledda,Grazia Deledda,PERSON
/wiki/Gustav_Stresemann,Gustav Stresemann,PERSON
/wiki/Arthur_Compton,Arthur Compton,PERSON
/wiki/Charles_Thomson_Rees_Wilson,Charles Thomson Rees Wilson,PERSON
/wiki/Heinrich_Otto_Wieland,Heinrich Otto Wieland,PERSON
/wiki/Julius_Wagner-Jauregg,Julius Wagner-Jauregg,PERSON
/wiki/Henri_Bergson,Henri Bergson,PERSON
/wiki/Owen_Willans_Richardson,Owen Willans Richardson,PERSON
/wiki/Adolf_Otto_Reinhold_Windaus,Adolf Windaus,PERSON
/wiki/Charles_Nicolle,Charles Nicolle,PERSON
/wiki/Sigrid_Undset,Sigrid Undset,PERSON
/wiki/Louis_de_Broglie,Louis de Broglie,PERSON
/wiki/Arthur_Harden,Arthur Harden,PERSON
/wiki/Hans_von_Euler-Chelpin,Hans von Euler-Chelpin,PERSON
/wiki/Frederick_Gowland_Hopkins,Frederick Gowland Hopkins,PERSON
/wiki/Thomas_Mann,Thomas Mann,PERSON
/wiki/Frank_B._Kellogg,Frank Billings Kellogg,PERSON
/wiki/C._V._Raman,Chandrasekhara Venkata Raman,PERSON
/wiki/Hans_Fischer,Hans Fischer,PERSON
/wiki/Karl_Landsteiner,Karl Landsteiner,PERSON
/wiki/Sinclair_Lewis,Sinclair Lewis,PERSON
/wiki/Nathan_S%C3%B6derblom,Nathan Söderblom,PERSON
/wiki/Carl_Bosch,Carl Bosch,PERSON
/wiki/Friedrich_Bergius,Friedrich Bergius,PERSON
/wiki/Otto_Heinrich_Warburg,Otto Heinrich Warburg,PERSON
/wiki/Erik_Axel_Karlfeldt,Erik Axel Karlfeldt,PERSON
/wiki/Jane_Addams,Jane Addams,PERSON
/wiki/Werner_Heisenberg,Werner Heisenberg,PERSON
/wiki/Irving_Langmuir,Irving Langmuir,PERSON
/wiki/John_Galsworthy,John Galsworthy,PERSON
/wiki/Erwin_Schr%C3%B6dinger,Erwin Schrödinger,PERSON
/wiki/Paul_Dirac,Paul Dirac,PERSON
/wiki/Thomas_Hunt_Morgan,Thomas Hunt Morgan,PERSON
/wiki/Ivan_Bunin,Ivan Alekseyevich Bunin,PERSON
/wiki/Norman_Angell,Norman Angell,PERSON
/wiki/Harold_Urey,Harold Urey,PERSON
/wiki/George_Whipple,George Whipple,PERSON
/wiki/George_Minot,George Minot,PERSON
/wiki/William_P._Murphy,William P. Murphy,PERSON
/wiki/Luigi_Pirandello,Luigi Pirandello,PERSON
/wiki/James_Chadwick,James Chadwick,PERSON
/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie,Frédéric Joliot-Curie,PERSON
/wiki/Ir%C3%A8ne_Joliot-Curie,Irène Joliot-Curie,PERSON
/wiki/Victor_Francis_Hess,Victor Francis Hess,PERSON
/wiki/Carl_David_Anderson,Carl David Anderson,PERSON
/wiki/Peter_Debye,Peter Debye,PERSON
/wiki/Eugene_O%27Neill,Eugene O'Neill,PERSON
/wiki/Carlos_Saavedra_Lamas,Carlos Saavedra Lamas,PERSON
/wiki/Clinton_Davisson,Clinton Davisson,PERSON
/wiki/George_Paget_Thomson,George Paget Thomson,PERSON
/wiki/Norman_Haworth,Norman Haworth,PERSON
/wiki/Paul_Karrer,Paul Karrer,PERSON
/wiki/Albert_Szent-Gy%C3%B6rgyi,Albert Szent-Györgyi,PERSON
/wiki/Roger_Martin_du_Gard,Roger Martin du Gard,PERSON
/wiki/Enrico_Fermi,Enrico Fermi,PERSON
/wiki/Richard_Kuhn,Richard Kuhn,PERSON
#endnote_Note1A,Trang Chính,LOCATION
/wiki/Corneille_Heymans,Corneille Heymans,PERSON
/wiki/Pearl_S._Buck,Pearl S. Buck,PERSON
/wiki/Ph%C3%B2ng_qu%E1%BB%91c_t%E1%BA%BF_Nansen_cho_c%C3%A1c_ng%C6%B0%E1%BB%9Di_t%E1%BB%8B_n%E1%BA%A1n,Cơ quan quốc tế về người tị nạn Nansen,ORGANIZATION 
/wiki/Ernest_Lawrence,Ernest Lawrence,PERSON
/wiki/Adolf_Butenandt,Adolf Butenandt,PERSON
/wiki/Leopold_Ru%C5%BEi%C4%8Dka,Leopold Ružička,PERSON
/wiki/Gerhard_Domagk,Gerhard Domagk,PERSON
/wiki/Frans_Eemil_Sillanp%C3%A4%C3%A4,Frans Eemil Sillanpää,PERSON
/wiki/Otto_Stern,Otto Stern,PERSON
/wiki/George_de_Hevesy,George de Hevesy,PERSON
/wiki/Henrik_Dam,Henrik Dam,PERSON
/wiki/Edward_Adelbert_Doisy,Edward Adelbert Doisy,PERSON
/wiki/Isidor_Isaac_Rabi,Isidor Isaac Rabi,PERSON
/wiki/Otto_Hahn,Otto Hahn,PERSON
/wiki/Joseph_Erlanger,Joseph Erlanger,PERSON
/wiki/Herbert_Spencer_Gasser,Herbert Spencer Gasser,PERSON
/wiki/Johannes_Vilhelm_Jensen,Johannes Vilhelm Jensen,PERSON
/wiki/Wolfgang_Pauli,Wolfgang Ernst Pauli,PERSON
/wiki/Artturi_Ilmari_Virtanen,Artturi Ilmari Virtanen,PERSON
/wiki/Alexander_Fleming,Alexander Fleming,PERSON
/wiki/Ernst_Boris_Chain,Ernst Boris Chain,PERSON
/wiki/Howard_Florey,Howard Walter Florey,PERSON
/wiki/Gabriela_Mistral,Gabriela Mistral,PERSON
/wiki/Percy_Williams_Bridgman,Percy Williams Bridgman,PERSON
/wiki/James_B._Sumner,James Batcheller Sumner,PERSON
/wiki/John_Howard_Northrop,John Howard Northrop,PERSON
/wiki/Wendell_Meredith_Stanley,Wendell Meredith Stanley,PERSON
/wiki/Hermann_Joseph_Muller,Hermann Joseph Muller,PERSON
/wiki/Hermann_Hesse,Hermann Hesse,PERSON
/wiki/Emily_Greene_Balch,Emily Greene Balch,PERSON
/wiki/John_Mott,John Mott,PERSON
/wiki/Edward_Victor_Appleton,Edward Victor Appleton,PERSON
/wiki/Robert_Robinson_(organic_chemist),Robert Robinson,PERSON
/wiki/Carl_Ferdinand_Cori,Carl Ferdinand Cori,PERSON
/wiki/Gerty_Cori,Gerty Theresa Cori,PERSON
/wiki/Bernardo_Houssay,Bernardo Houssay,PERSON
/wiki/Andr%C3%A9_Gide,André Gide,PERSON
"/wiki/Patrick_Blackett,_Baron_Blackett",Patrick Blackett,PERSON
/wiki/Arne_Tiselius,Arne Tiselius,PERSON
/wiki/Paul_Hermann_M%C3%BCller,Paul Hermann Müller,PERSON
/wiki/T._S._Eliot,T. S. Eliot,PERSON
#endnote_Note1B,Trang Chính,LOCATION
/wiki/Hideki_Yukawa,Yukawa Hideki,PERSON
/wiki/William_Giauque,William Giauque,PERSON
/wiki/Walter_Rudolf_Hess,Walter Rudolf Hess,PERSON
/wiki/William_Faulkner,William Faulkner,PERSON
/wiki/C._F._Powell,Cecil Frank Powell,PERSON
/wiki/Otto_Diels,Otto Diels,PERSON
/wiki/Kurt_Alder,Kurt Alder,PERSON
/wiki/Philip_Showalter_Hench,Philip Showalter Hench,PERSON
/wiki/Edward_Calvin_Kendall,Edward Calvin Kendall,PERSON
/wiki/Tadeus_Reichstein,Tadeus Reichstein,PERSON
/wiki/Bertrand_Russell,Bertrand Russell,PERSON
/wiki/Ralph_Bunche,Ralph Bunche,PERSON
/wiki/John_Cockcroft,John Cockcroft,PERSON
/wiki/Ernest_Walton,Ernest Walton,PERSON
/wiki/Edwin_McMillan,Edwin McMillan,PERSON
/wiki/Glenn_T._Seaborg,Glenn Seaborg,PERSON
/wiki/Max_Theiler,Max Theiler,PERSON
/wiki/P%C3%A4r_Lagerkvist,Pär Lagerkvist,PERSON
/wiki/L%C3%A9on_Jouhaux,Léon Jouhaux,PERSON
/wiki/Felix_Bloch,Felix Bloch,PERSON
/wiki/Edward_Mills_Purcell,Edward Mills Purcell,PERSON
/wiki/Archer_John_Porter_Martin,Archer Martin,PERSON
/wiki/Richard_Laurence_Millington_Synge,Richard Laurence Millington Synge,PERSON
/wiki/Selman_Waksman,Selman Waksman,PERSON
/wiki/Fran%C3%A7ois_Mauriac,François Mauriac,PERSON
/wiki/Albert_Schweitzer,Albert Schweitzer,PERSON
/wiki/Frits_Zernike,Frits Zernike,PERSON
/wiki/Hermann_Staudinger,Hermann Staudinger,PERSON
/wiki/Hans_Adolf_Krebs,Hans Adolf Krebs,PERSON
/wiki/Fritz_Albert_Lipmann,Fritz Albert Lipmann,PERSON
/wiki/Winston_Churchill,Winston Churchill,PERSON
/wiki/George_Marshall,George Marshall,PERSON
/wiki/Max_Born,Max Born,PERSON
/wiki/Walther_Bothe,Walther Bothe,PERSON
/wiki/Linus_Pauling,Linus Pauling,PERSON
/wiki/John_Franklin_Enders,John Franklin Enders,PERSON
/wiki/Frederick_Chapman_Robbins,Frederick Chapman Robbins,PERSON
/wiki/Ernest_Hemingway,Ernest Hemingway,PERSON
/wiki/Cao_%E1%BB%A7y_Li%C3%AAn_H%E1%BB%A3p_Qu%E1%BB%91c_v%E1%BB%81_ng%C6%B0%E1%BB%9Di_t%E1%BB%8B_n%E1%BA%A1n,Cao ủy Liên Hợp Quốc về người tị nạn,ORGANIZATION
/wiki/Willis_Lamb,Willis Lamb,PERSON
/wiki/Polykarp_Kusch,Polykarp Kusch,PERSON
/wiki/Vincent_du_Vigneaud,Vincent du Vigneaud,PERSON
/wiki/Hugo_Theorell,Hugo Theorell,PERSON
/wiki/Halld%C3%B3r_Laxness,Halldór Laxness,PERSON
/wiki/John_Bardeen,John Bardeen,PERSON
/wiki/Walter_Houser_Brattain,Walter Houser Brattain,PERSON
/wiki/William_Shockley,William Shockley,PERSON
/wiki/Cyril_Norman_Hinshelwood,Cyril Norman Hinshelwood,PERSON
/wiki/Nikolay_Semyonov,Nikolay Nikolayevich Semyonov,PERSON
/wiki/Andr%C3%A9_Fr%C3%A9d%C3%A9ric_Cournand,André Frédéric Cournand,PERSON
/wiki/Werner_Forssmann,Werner Forssmann,PERSON
/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez,Juan Ramón Jiménez,PERSON
/wiki/Chen_Ning_Yang,Dương Chấn Ninh,PERSON
/wiki/Tsung-Dao_Lee,Lý Chính Đạo,PERSON
"/wiki/Alexander_R._Todd,_Baron_Todd",Alexander R. Todd,PERSON
/wiki/Albert_Camus,Albert Camus,PERSON
/wiki/Lester_B._Pearson,Lester B. Pearson,PERSON
/wiki/Pavel_Cherenkov,Pavel Alekseyevich Cherenkov,PERSON
/wiki/Ilya_Frank,Ilya Mikhailovich Frank,PERSON
/wiki/Igor_Tamm,Igor Yevgenyevich Tamm,PERSON
/wiki/Frederick_Sanger,Frederick Sanger,PERSON
/wiki/George_Wells_Beadle,George Wells Beadle,PERSON
/wiki/Edward_Lawrie_Tatum,Edward Lawrie Tatum,PERSON
/wiki/Boris_Pasternak,Boris Leonidovich Pasternak,PERSON
#endnote_Note1C,Trang Chính,LOCATION
/wiki/Dominique_Pire,Dominique Pire,PERSON
/wiki/Emilio_G._Segr%C3%A8,Emilio G. Segrè,PERSON
/wiki/Owen_Chamberlain,Owen Chamberlain,PERSON
/wiki/Jaroslav_Heyrovsk%C3%BD,Jaroslav Heyrovský,PERSON
/wiki/Severo_Ochoa,Severo Ochoa,PERSON
/wiki/Salvatore_Quasimodo,Salvatore Quasimodo,PERSON
/wiki/Donald_A._Glaser,Donald Arthur Glaser,PERSON
/wiki/Willard_Libby,Willard Libby,PERSON
/wiki/Frank_Macfarlane_Burnet,Frank Macfarlane Burnet,PERSON
/wiki/Saint-John_Perse,Saint-John Perse,PERSON
/wiki/Robert_Hofstadter,Robert Hofstadter,PERSON
/wiki/Rudolf_M%C3%B6ssbauer,Rudolf Mößbauer,PERSON
/wiki/Melvin_Calvin,Melvin Calvin,PERSON
/wiki/Ivo_Andri%C4%87,Ivo Andrić,PERSON
/wiki/Dag_Hammarskj%C3%B6ld,Dag Hammarskjöld,PERSON
/wiki/Lev_Landau,Lev Davidovich Landau,PERSON
/wiki/Max_Perutz,Max Perutz,PERSON
/wiki/John_Kendrew,John Kendrew,PERSON
/wiki/Francis_Crick,Francis Crick,PERSON
/wiki/James_D._Watson,James D. Watson,PERSON
/wiki/Maurice_Wilkins,Maurice Wilkins,PERSON
/wiki/John_Steinbeck,John Steinbeck,PERSON
/wiki/Eugene_Wigner,Eugene Wigner,PERSON
/wiki/Maria_Goeppert-Mayer,Maria Goeppert-Mayer,PERSON
/wiki/J._Hans_D._Jensen,Johannes Hans Daniel Jensen,PERSON
/wiki/Karl_Ziegler,Karl Ziegler,PERSON
/wiki/Giulio_Natta,Giulio Natta,PERSON
/wiki/Giorgos_Seferis,Giorgos Seferis,PERSON
/wiki/Li%C3%AAn_hi%E1%BB%87p_c%C3%A1c_H%E1%BB%99i_Ch%E1%BB%AF_th%E1%BA%ADp_%C4%90%E1%BB%8F_qu%E1%BB%91c_t%E1%BA%BF,Phong trào Chữ thập đỏ và Trăng lưỡi liềm đỏ quốc tế,LOCATION
/wiki/Charles_Hard_Townes,Charles Townes,PERSON
/wiki/Nikolay_Basov,Nikolay Gennadiyevich Basov,PERSON
/wiki/Alexander_Prokhorov,Aleksandr Mikhailovich Prokhorov,PERSON
/wiki/Dorothy_Hodgkin,Dorothy Hodgkin,PERSON
/wiki/Konrad_Emil_Bloch,Konrad Emil Bloch,PERSON
/wiki/Jean-Paul_Sartre,Jean-Paul Sartre,PERSON
#endnote_Note1D,Trang Chính,LOCATION
"/wiki/Martin_Luther_King,_Jr.",Martin Luther King,PERSON
/wiki/Sin-Itiro_Tomonaga,Tomonaga Shinichirō,PERSON
/wiki/Julian_Schwinger,Julian Schwinger,PERSON
/wiki/Richard_Feynman,Richard Feynman,PERSON
/wiki/Robert_Burns_Woodward,Robert Burns Woodward,PERSON
/wiki/Fran%C3%A7ois_Jacob,François Jacob,PERSON
/wiki/Andr%C3%A9_Michel_Lwoff,André Michel Lwoff,PERSON
/wiki/Jacques_Monod,Jacques Monod,PERSON
/wiki/Mikhail_Sholokhov,Mikhail Aleksandrovich Sholokhov,PERSON
/wiki/Qu%E1%BB%B9_Nhi_%C4%91%E1%BB%93ng_Li%C3%AAn_H%E1%BB%A3p_Qu%E1%BB%91c,Quỹ Nhi đồng Liên Hợp Quốc,ORGANIZATION
/wiki/Alfred_Kastler,Alfred Kastler,PERSON
/wiki/Robert_S._Mulliken,Robert S. Mulliken,PERSON
/wiki/Francis_Peyton_Rous,Francis Peyton Rous,PERSON
/wiki/Charles_Brenton_Huggins,Charles Brenton Huggins,PERSON
/wiki/Shmuel_Yosef_Agnon,Shmuel Yosef Agnon,PERSON
/wiki/Nelly_Sachs,Nelly Sachs,PERSON
/wiki/Hans_Bethe,Hans Bethe,PERSON
/wiki/Manfred_Eigen,Manfred Eigen,PERSON
/wiki/Ronald_George_Wreyford_Norrish,Ronald George Wreyford Norrish,PERSON
/wiki/George_Porter,George Porter,PERSON
/wiki/Ragnar_Granit,Ragnar Granit,PERSON
/wiki/Miguel_%C3%81ngel_Asturias,Miguel Ángel Asturias,PERSON
/wiki/Luis_Walter_Alvarez,Luis Alvarez,PERSON
/wiki/Lars_Onsager,Lars Onsager,PERSON
/wiki/Robert_W._Holley,Robert W. Holley,PERSON
/wiki/Yasunari_Kawabata,Kawabata Yasunari,PERSON
/wiki/Ren%C3%A9_Cassin,René Cassin,PERSON
/wiki/Murray_Gell-Mann,Murray Gell-Mann,PERSON
/wiki/Derek_Barton,Derek Barton,PERSON
/wiki/Odd_Hassel,Odd Hassel,PERSON
/wiki/Alfred_Hershey,Alfred Hershey,PERSON
/wiki/Samuel_Beckett,Samuel Beckett,PERSON
/wiki/T%E1%BB%95_ch%E1%BB%A9c_Lao_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_t%E1%BA%BF,Tổ chức Lao động Quốc tế,ORGANIZATION
/wiki/Ragnar_Frisch,Ragnar Frisch,PERSON
/wiki/Jan_Tinbergen,Jan Tinbergen,PERSON
/wiki/Hannes_Alfv%C3%A9n,Hannes Alfvén,PERSON
/wiki/Louis_N%C3%A9el,Louis Eugène Félix Néel,ORGANIZATION
/wiki/Luis_Federico_Leloir,Luis Federico Leloir,PERSON
/wiki/Ulf_von_Euler,Ulf von Euler,PERSON
/wiki/Aleksandr_Solzhenitsyn,Aleksandr Isayevich Solzhenitsyn,PERSON
/wiki/Norman_Borlaug,Norman Borlaug,PERSON
/wiki/Paul_Samuelson,Paul Samuelson,PERSON
/wiki/Dennis_Gabor,Dennis Gabor,PERSON
/wiki/Gerhard_Herzberg,Gerhard Herzberg,PERSON
"/wiki/Earl_Wilbur_Sutherland,_Jr.",Earl Wilbur Sutherland Jr.,PERSON
/wiki/Pablo_Neruda,Pablo Neruda,PERSON
/wiki/Willy_Brandt,Willy Brandt,PERSON
/wiki/Simon_Kuznets,Simon Kuznets,PERSON
/wiki/Leon_Cooper,Leon Neil Cooper,PERSON
/wiki/John_Robert_Schrieffer,John Schrieffer,PERSON
/wiki/Christian_B._Anfinsen,Christian B. Anfinsen,PERSON
/wiki/Stanford_Moore,Stanford Moore,PERSON
/wiki/William_Howard_Stein,William Howard Stein,PERSON
/wiki/Rodney_Robert_Porter,Rodney Robert Porter,PERSON
/wiki/Heinrich_B%C3%B6ll,Heinrich Böll,PERSON
/wiki/John_Hicks,John Hicks,PERSON
/wiki/Kenneth_Arrow,Kenneth Arrow,PERSON
/wiki/Leo_Esaki,Esaki Reona,PERSON
/wiki/Ivar_Giaever,Ivar Giaever,PERSON
/wiki/Brian_David_Josephson,Brian David Josephson,PERSON
/wiki/Ernst_Otto_Fischer,Ernst Otto Fischer,PERSON
/wiki/Geoffrey_Wilkinson,Geoffrey Wilkinson,PERSON
/wiki/Karl_von_Frisch,Karl von Frisch,PERSON
/wiki/Konrad_Lorenz,Konrad Lorenz,PERSON
/wiki/Patrick_White,Patrick White,PERSON
/wiki/Henry_Kissinger,Henry Kissinger,PERSON
/wiki/L%C3%AA_%C4%90%E1%BB%A9c_Th%E1%BB%8D,Lê Đức Thọ,PERSON
#endnote_Note1E,Trang Chính,LOCATION
/wiki/Wassily_Leontief,Wassily Leontief,PERSON
/wiki/Martin_Ryle,Martin Ryle,PERSON
/wiki/Antony_Hewish,Antony Hewish,PERSON
/wiki/Paul_Flory,Paul Flory,PERSON
/wiki/Albert_Claude,Albert Claude,PERSON
/wiki/Christian_de_Duve,Christian de Duve,PERSON
/wiki/George_Emil_Palade,George Emil Palade,PERSON
/wiki/Eyvind_Johnson,Eyvind Johnson,PERSON
/wiki/Harry_Martinson,Harry Martinson,PERSON
